Available Datacenters(可用数据中心)

Datacenter  Geographic Location             Slug    oem_name1
NYC1        New York City, United States    nyc1    美国纽约市
NYC2        New York City, United States    nyc2    美国纽约市
NYC3        New York City, United States    nyc3    美国纽约市
AMS2        Amsterdam, the Netherlands      ams2    荷兰阿姆斯特丹
AMS3        Amsterdam, the Netherlands      ams3    荷兰阿姆斯特丹
SFO1        San Francisco, United States    sfo1    美国旧金山
SFO2        San Francisco, United States    sfo2    美国旧金山
corezoid-corezoidprocesse-7-6                droplet
castai-kubernetes119-20-04                   droplet
netverity-netbox-20-04                       droplet
directus-18-04                               droplet
csmm-20-04                                   droplet
starkdrones-decentralizedint-18-04           droplet
openvpn-18-04                                droplet
litespeedtechnol-openlitespeeddja-20-04      droplet
akaunting-20-04                              droplet
runcloud-runcloud1804-18-04                  droplet
runcloud-runcloud2004-20-04                  droplet
webkul-qloapps-18-04                         droplet
litespeedtechnol-openlitespeednod-20-04      droplet
selfhostedpro-yacht-20-04                    droplet
jadiangaming-solderio-18-04-5                droplet
doppler-20-04                                droplet
zeslecp-7                                    droplet
threatwatch-twigs-20-04                      droplet
bigcloud-oddocr-18-04                        droplet
flexifyio-flexifyiomulticl-20-04             droplet
ten7-computingforcovi-18-04-4                droplet
charlottetest1-18-04                         droplet
spatie-mailcoach-20-04                       droplet
devopstechlab-jenkinsdevopstec-20-04-2       droplet
curiositygmbh-curiosity-16-04                droplet
cloudup-webwordpress-20-04                   droplet
theoryforce-wordpressnginxle-10              droplet
supabase-supabasepostgres-18-04              droplet
sharklabs-minecraftbedrock-20-04             droplet
charlottetestpub-18-04                       droplet
uzerpllp-uzerp-18-04                         droplet
openboxes-20-04                              droplet
cloudup-lamppoweredbyclo-20-04               droplet
pyboxtechnologie-pyboxtechmed-20-04          droplet
bugfender-20-04                              droplet
apisnetworks-apiscp-8-3                      droplet
vodianetworks-vodiaphonesystem-10            droplet
invoiceninja-20-0-4                          droplet
humhubgmbhkg-humhub-10                       droplet
peppermintlabs-peppermint                    droplet
autopanel-autopanelwordpre-20-04-2           droplet
rocketchat-20-04                             droplet
peppermintlabs-peppermint                    droplet
aecsystems-speckleserver-20-04               droplet
gutiumtestapp-18-04                          droplet
gutiumtestapp2-18-04                         droplet
mpdev-gutiumtestapp-18-04                    droplet
mpdev-gutiumtestapp2-18-04                   droplet
dokos-18-04                                  droplet
greendeployhq-django32lts-20-04              droplet
chevereto-20-04                              droplet
mistio-mist-20-04                            droplet
mpdev-vlad-18-04                             droplet
mpdev-dtestrenamed-1                         droplet
mpdev-dtest2-1                               droplet
mpdev-vladanother-18-04                      droplet
mpdev-vladanothertest-1                      droplet
mpdev-vladanothertest2-666                   droplet
mpdev-dtest2-1                               droplet
mpdev-vladanothertest3-1                     droplet
mpdev-vladappname-18-04                      droplet
mpdev-vladappname2-18-04                     droplet
mpdev-vladappname3-18-04                     droplet
mpdev-sluotest-18-04                         droplet
mpdev-dtest-1                                droplet
mpdev-sluotest2-18-01                        droplet
mpdev-seanluologo-18-04                      droplet
mpdev-sluotestlogo2-18-04                    droplet
jelastic-jelasticpaas-7                      droplet
dsuhininapp1-18-04                           droplet
dokku-20-04                                  droplet
discourse-20-04                              droplet
hectortestdontde-20-04                       droplet
kromit-titra-20-04                           droplet
charlottemp3529p-18-04                       droplet
gigantum-gigantumclient-20-04                droplet
lemp-20-04                                   droplet
rstudio-20-04                                droplet
mpdev-gutiumapptoremov-18-04                 droplet
mpdev-testcreateapp-20-04                    droplet
microwebercms-microweber-20-04               droplet
docker-20-04                                 droplet
mpdev-hectortestimages-18-04                 droplet
varnishsoftware-varnishcache-18-04           droplet
appsmith-18-04                               droplet
hystax-freecostmanageme-20-04                droplet
testytest-12                                 droplet
testtest2-112                                droplet
rubyonrails-20-04                            droplet
django-20-04                                 droplet
hectortestdontde-20-04                       droplet
sluodroplettest7-18-04                       droplet
sluodroplet72620-18-04                       droplet
charlottemp3529f-18-04                       droplet
sluodroplettestj-18-04                       droplet
dsuhinintest1-18-04                          droplet
charlottemp3529p-18-04                       droplet
dsuhinin27071-18-04                          droplet
dsuhinin27072-18-04                          droplet
mpdev-gutiumtestingfil-20-04                 droplet
mpdev-gutiumtestfileco-20-04                 droplet
mpdev-gutiumfilecointe-20-04                 droplet
mpdev-gutiumtestlempim-20-04                 droplet
litespeedtechnol-cyberpanel-20-04            droplet
hyfinity-webmakerserver-20-04                droplet
mpdev-gutiumfilecointe-20-04                 droplet
mpdev-gutiumfilecointf-20-04                 droplet
restya-restyaboard-20-04                     droplet
flussonic-20-04                              droplet
azuracast-20-04                              droplet
mgtcommercegmbh-cloudpanel1-10-10            droplet
haproxywi-roxywi-7                           droplet
